epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,4184.15,1.45038,0.78756,1.00582,0.89671,0.84008,0.89908,0.53616,1.3261,0.66604,0.98516,0.00086437,0.00086437,0.00086437
139,4214.26,1.45312,0.78659,1.01453,0.89982,0.83995,0.90793,0.511,1.41991,0.68309,0.99787,0.00086338,0.00086338,0.00086338
140,4244.35,1.43271,0.77325,1.01005,0.90008,0.846,0.91008,0.54002,1.3427,0.6458,0.98497,0.00086239,0.00086239,0.00086239
141,4274.47,1.44528,0.7875,1.01299,0.91014,0.84512,0.91321,0.5316,1.36347,0.67129,0.98583,0.0008614,0.0008614,0.0008614
142,4304.57,1.44347,0.7775,1.01765,0.90625,0.85236,0.91433,0.55369,1.31081,0.6342,0.97989,0.00086041,0.00086041,0.00086041
143,4334.83,1.42632,0.77093,1.00813,0.90393,0.84712,0.91072,0.52803,1.39526,0.65992,0.99332,0.00085942,0.00085942,0.00085942
144,4364.97,1.43535,0.77523,1.00385,0.89506,0.84649,0.90599,0.51284,1.422,0.67529,0.99745,0.00085843,0.00085843,0.00085843
145,4395.07,1.43488,0.77784,1.01517,0.9049,0.8463,0.90893,0.54626,1.31465,0.65192,0.97706,0.00085744,0.00085744,0.00085744
146,4425.23,1.41451,0.75913,1.0034,0.90522,0.85077,0.91359,0.53683,1.34715,0.65201,0.98193,0.00085645,0.00085645,0.00085645
147,4455.32,1.40384,0.76188,1.0005,0.90859,0.83997,0.91089,0.5299,1.38251,0.65518,0.98988,0.00085546,0.00085546,0.00085546
148,4485.44,1.41941,0.75956,1.00874,0.90703,0.84714,0.90993,0.55491,1.28657,0.63409,0.97556,0.00085447,0.00085447,0.00085447
149,4515.76,1.41322,0.76387,1.00558,0.9074,0.85514,0.91521,0.54701,1.32462,0.63906,0.97992,0.00085348,0.00085348,0.00085348
150,4545.91,1.42847,0.7776,1.00588,0.90421,0.86139,0.9129,0.54812,1.31918,0.64696,0.9753,0.00085249,0.00085249,0.00085249
151,4576.05,1.42088,0.76717,1.00643,0.90578,0.85897,0.91771,0.56089,1.28295,0.6318,0.96732,0.0008515,0.0008515,0.0008515
152,4606.37,1.42429,0.76929,1.01385,0.90919,0.85887,0.91475,0.55791,1.28885,0.63451,0.97036,0.00085051,0.00085051,0.00085051
153,4636.45,1.39262,0.75328,0.99246,0.90608,0.85651,0.91744,0.54234,1.3522,0.64732,0.98353,0.00084952,0.00084952,0.00084952
154,4666.6,1.39164,0.75242,1.00094,0.91166,0.86834,0.92152,0.57175,1.26471,0.61469,0.96474,0.00084853,0.00084853,0.00084853
155,4696.88,1.40037,0.74467,1.00028,0.90934,0.86098,0.91903,0.5705,1.25389,0.61007,0.96134,0.00084754,0.00084754,0.00084754
156,4726.96,1.41743,0.76015,1.00655,0.91426,0.85179,0.91541,0.56439,1.28443,0.63197,0.97003,0.00084655,0.00084655,0.00084655
157,4757.06,1.40413,0.74488,1.0013,0.91105,0.85699,0.91913,0.56339,1.28259,0.6237,0.96737,0.00084556,0.00084556,0.00084556
158,4787.19,1.40002,0.75466,0.99616,0.90898,0.86049,0.9188,0.55561,1.31668,0.62856,0.9728,0.00084457,0.00084457,0.00084457
159,4817.36,1.40786,0.74588,1.00104,0.88375,0.82969,0.89513,0.48418,1.50888,0.71307,1.02327,0.00084358,0.00084358,0.00084358
160,4847.48,1.41718,0.75694,1.00446,0.90751,0.86101,0.91993,0.54597,1.35144,0.63726,0.97874,0.00084259,0.00084259,0.00084259
161,4877.6,1.35814,0.71928,0.98981,0.91561,0.85598,0.92252,0.5768,1.25372,0.60904,0.96006,0.0008416,0.0008416,0.0008416
162,4907.91,1.37025,0.72687,0.99294,0.91262,0.86489,0.92332,0.58091,1.22372,0.6025,0.95352,0.00084061,0.00084061,0.00084061
163,4938.18,1.34505,0.71326,0.99155,0.91164,0.86667,0.92589,0.56695,1.28798,0.60574,0.96466,0.00083962,0.00083962,0.00083962
164,4968.27,1.37585,0.72809,0.9986,0.91967,0.86002,0.92408,0.57539,1.26832,0.6032,0.96231,0.00083863,0.00083863,0.00083863
165,4998.4,1.37025,0.73503,0.99504,0.92,0.86517,0.92765,0.56017,1.31825,0.62301,0.96895,0.00083764,0.00083764,0.00083764
166,5028.52,1.3754,0.73705,0.9905,0.91094,0.86859,0.92494,0.57489,1.25946,0.60033,0.96177,0.00083665,0.00083665,0.00083665
167,5058.6,1.38392,0.73442,0.99314,0.91431,0.86733,0.92093,0.57961,1.24018,0.60336,0.95811,0.00083566,0.00083566,0.00083566
168,5088.71,1.36411,0.71741,0.99374,0.91842,0.87034,0.92745,0.58451,1.22947,0.59207,0.95218,0.00083467,0.00083467,0.00083467
169,5118.92,1.37621,0.73309,0.98733,0.91138,0.86577,0.92265,0.58918,1.2064,0.6022,0.95157,0.00083368,0.00083368,0.00083368
170,5149.2,1.3551,0.728,0.98753,0.91847,0.86171,0.92432,0.55072,1.35344,0.62531,0.97896,0.00083269,0.00083269,0.00083269
171,5179.3,1.38622,0.7276,1.00019,0.91577,0.86939,0.92748,0.55645,1.33295,0.615,0.96969,0.0008317,0.0008317,0.0008317
172,5209.35,1.3718,0.72437,0.99356,0.92022,0.87261,0.92748,0.58803,1.22263,0.58189,0.95106,0.00083071,0.00083071,0.00083071
173,5239.43,1.35436,0.70828,0.98302,0.92254,0.87886,0.93363,0.59476,1.20223,0.57875,0.94557,0.00082972,0.00082972,0.00082972
174,5269.73,1.37205,0.71442,0.98642,0.92683,0.86924,0.92987,0.58062,1.2388,0.58195,0.9535,0.00082873,0.00082873,0.00082873
175,5299.82,1.36862,0.72616,0.99264,0.92565,0.87092,0.93077,0.57316,1.27766,0.5928,0.96106,0.00082774,0.00082774,0.00082774
176,5329.91,1.34838,0.7109,0.9876,0.92918,0.87602,0.93656,0.59148,1.22491,0.58142,0.94882,0.00082675,0.00082675,0.00082675
177,5360.02,1.3564,0.71046,0.98474,0.92062,0.87564,0.93088,0.59323,1.21538,0.57364,0.95141,0.00082576,0.00082576,0.00082576
178,5390.12,1.35066,0.70549,0.97887,0.92723,0.87585,0.93453,0.57014,1.29211,0.58879,0.96694,0.00082477,0.00082477,0.00082477
179,5420.21,1.35306,0.71304,0.98462,0.92358,0.8787,0.93454,0.5902,1.23428,0.57718,0.95066,0.00082378,0.00082378,0.00082378
180,5450.33,1.33113,0.70106,0.97467,0.92196,0.87223,0.93207,0.58781,1.22632,0.58304,0.95002,0.00082279,0.00082279,0.00082279
181,5480.45,1.32561,0.69184,0.98568,0.91379,0.88741,0.93682,0.57988,1.27324,0.58035,0.95758,0.0008218,0.0008218,0.0008218
